0
0 0 0
9 9 9
17 16 16
30 30 30
1 0 57
15 25 53
32 0 0
56 0 0
39 33 17
35 35 35
40 40 40
57 44 60
51 49 51
61 61 53
56 56 56
1 0 65
0 24 112
8 32 88
8 56 112
3 105 3
64 0 0
70 48 54
81 41 54
82 41 58
84 58 60
93 55 53
95 51 59
96 0 0
108 26 28
121 9 10
118 26 27
102 63 15
96 32 32
97 50 55
104 50 50
110 54 61
75 61 73
83 61 71
106 53 69
75 75 36
86 67 63
96 72 16
126 89 26
106 82 61
100 100 50
120 120 56
65 64 65
75 75 75
83 75 70
88 72 72
84 86 84
99 69 70
98 67 74
97 78 80
104 82 85
110 83 88
106 90 84
115 76 68
116 88 70
126 84 79
112 83 86
112 86 95
112 89 88
119 93 96
96 96 88
123 97 94
100 100 100
108 102 108
108 106 108
122 99 104
112 112 112
124 118 124
123 121 123
1 0 129
0 0 249
44 76 140
56 96 144
0 128 0
0 255 0
104 248 0
0 255 255
128 0 0
140 6 12
145 10 13
152 0 0
173 12 18
184 0 0
188 14 20
179 1 43
160 32 32
176 48 48
128 64 0
128 73 63
146 78 61
128 113 49
172 66 32
160 64 48
177 70 35
133 92 88
139 82 83
146 86 79
147 85 84
146 115 82
133 103 101
140 100 106
152 99 96
157 110 97
144 112 110
164 81 69
169 84 76
166 92 92
168 91 90
176 90 77
181 94 88
165 96 87
169 118 95
178 111 95
185 102 91
188 110 86
181 116 85
161 122 108
161 125 119
189 107 104
189 120 105
180 122 115
188 125 114
195 8 16
198 20 24
216 0 0
235 12 5
238 24 28
247 8 9
254 0 0
232 25 32
248 91 16
203 76 76
192 87 78
203 100 72
196 105 90
206 113 83
203 126 93
210 107 87
210 117 87
213 122 92
217 126 90
200 96 96
205 100 104
204 123 102
214 126 106
224 82 83
243 85 85
248 83 83
248 0 128
128 128 0
128 128 64
158 139 121
189 136 127
220 132 93
206 128 100
202 133 107
212 129 105
211 137 101
214 139 107
217 129 99
216 140 101
210 131 113
212 140 115
214 140 121
218 129 113
218 137 118
221 148 110
212 144 118
215 151 122
215 154 127
222 148 116
219 151 124
220 155 118
220 165 120
255 128 64
228 148 111
228 153 116
228 154 124
225 164 116
225 162 124
225 170 119
243 249 3
254 254 0
128 128 128
140 134 140
140 139 140
152 136 128
144 144 144
156 154 156
165 136 129
176 152 152
160 160 160
172 162 162
171 169 171
176 168 176
178 179 178
184 184 184
128 128 248
194 146 130
223 139 133
215 159 130
221 156 128
218 151 152
215 161 134
216 162 135
222 178 146
232 142 142
225 146 133
231 155 134
232 157 129
232 158 140
228 158 156
248 128 128
228 165 131
228 160 137
226 172 130
230 174 137
234 174 133
233 172 140
225 164 145
229 169 145
233 167 151
235 175 147
233 177 136
232 184 143
229 188 146
236 180 147
233 180 154
235 185 151
232 189 159
230 177 160
237 181 163
236 185 160
237 189 169
233 189 178
225 197 158
233 193 150
244 192 159
231 192 163
238 192 168
238 200 169
235 197 177
192 192 192
204 198 204
200 200 200
218 213 218
227 218 212
227 225 227
236 230 236
242 234 228
242 241 242
253 253 253

1431 830
0
328 327

5
0 420 1430 829
0 0 640 240
640 0 800 180
800 0 1430 240
640 180 672 210

1
11 795 382

31
47 289
52 344
18 318
198 137
196 606
246 610
160 718
445 643
552 641
679 567
448 800
292 749
988 700
1179 686
1274 479
974 565
1373 295
1368 359
1273 104
341 175
433 308
499 321
526 387
479 388
1027 342
1118 302
1156 381
719 80
584 77
518 45
329 608

21
76 169
206 24
96 119
512 468
326 444
431 526
983 443
1047 530
837 634
1229 555
1094 162
1035 75
632 182
565 294
1172 295
1033 294
956 354
791 68
281 554
207 703
235 775

8
583 720
917 284
1046 245
537 138
377 60
611 358
736 281
714 408

13
125 295
123 329
498 642
501 528
1211 615
931 322
1088 359
1192 132
614 48
474 57
280 688
203 542
772 641

11
123 368
26 69
26 121
76 26
529 205
1021 570
1129 720
1408 327
850 106
1076 321
1199 403

6
93 814
532 785
285 84
413 469
1039 450
745 163

12
603 479
902 456
978 195
528 176
321 74
71 67
935 475
936 439
559 475
1310 215
693 170
442 229

