256
0 0 0
9 9 9
17 16 16
24 24 24
1 0 57
15 25 53
32 0 0
56 0 0
39 33 17
32 32 32
40 40 40
57 44 60
51 49 51
61 61 53
56 56 56
1 0 65
0 24 112
8 32 88
8 56 112
3 105 3
64 0 0
70 48 54
81 41 54
82 41 58
84 58 60
93 55 53
95 51 59
96 0 0
108 26 28
121 9 10
118 26 27
102 63 15
96 32 32
97 50 55
104 50 50
110 54 61
75 61 73
83 61 71
106 53 69
75 75 36
86 67 63
96 72 16
126 89 26
106 82 61
100 100 50
120 120 56
65 64 65
75 75 75
83 75 70
88 72 72
84 86 84
99 69 70
98 67 74
97 78 80
104 82 85
110 83 88
106 90 84
115 76 68
116 88 70
126 84 79
112 83 86
112 86 95
112 89 88
119 93 96
96 96 88
123 97 94
100 100 100
108 102 108
108 106 108
122 99 104
112 112 112
124 118 124
123 121 123
1 0 129
0 0 254
44 76 140
56 96 144
0 128 0
0 255 0
104 248 0
0 255 255
128 0 0
140 6 12
145 10 13
152 0 0
173 12 18
184 0 0
188 14 20
179 1 43
160 32 32
176 48 48
128 64 0
128 73 63
146 78 61
128 113 49
172 66 32
160 64 48
177 70 35
133 92 88
139 82 83
146 86 79
147 85 84
146 115 82
133 103 101
140 100 106
152 99 96
157 110 97
144 112 110
164 81 69
169 84 76
166 92 92
168 91 90
176 90 77
181 94 88
165 96 87
169 118 95
178 111 95
185 102 91
188 110 86
181 116 85
161 122 108
161 125 119
189 107 104
189 120 105
180 122 115
188 125 114
195 8 16
198 20 24
216 0 0
235 12 5
238 24 28
247 8 9
253 0 0
232 25 32
203 76 76
192 87 78
203 100 72
196 105 90
206 113 83
203 126 93
210 107 87
210 117 87
213 122 92
217 126 90
200 96 96
205 100 104
204 123 102
214 126 106
224 82 83
243 85 85
248 83 83
248 0 128
128 128 0
128 128 64
158 139 121
189 136 127
220 132 93
206 128 100
202 133 107
212 129 105
211 137 101
214 139 107
217 129 99
216 140 101
210 131 113
212 140 115
214 140 121
218 129 113
218 137 118
221 148 110
212 144 118
215 151 122
215 154 127
222 148 116
219 151 124
220 155 118
220 165 120
255 128 64
228 148 111
228 153 116
228 154 124
225 164 116
225 162 124
225 170 119
243 249 3
254 254 0
128 128 128
140 134 140
140 139 140
152 136 128
144 144 144
156 154 156
165 136 129
176 152 152
160 160 160
172 162 162
171 169 171
176 168 176
178 179 178
184 184 184
128 128 254
194 146 130
223 139 133
215 159 130
221 156 128
218 151 152
215 161 134
216 162 135
222 178 146
232 142 142
225 146 133
231 155 134
232 157 129
232 158 140
228 158 156
248 128 128
228 165 131
228 160 137
226 172 130
230 174 137
234 174 133
233 172 140
225 164 145
229 169 145
233 167 151
235 175 147
233 177 136
232 184 143
229 188 146
236 180 147
233 180 154
235 185 151
232 189 159
230 177 160
237 181 163
236 185 160
237 189 169
233 189 178
225 197 158
233 193 150
244 192 159
231 192 163
238 192 168
238 200 169
235 197 177
192 192 192
204 198 204
200 200 200
208 208 208
220 214 220
227 218 212
227 225 227
236 230 236
242 234 228
242 241 242
253 253 253


1298 538 7 
1146 137
2 320 0 1280 330 320 330 608 390 3 7 0 8 9 150 480 9 150 440 
15
1253 177
1011 26
892 25
570 221
556 220
580 220
457 371
386 371
219 21
167 20
243 257
32 288
125 242
1074 181
1025 422

24
1254 21
1070 290
948 296
844 155
747 378
381 417
381 465
569 370
566 73
651 142
384 119
293 328
293 409
50 14
292 20
244 164
87 136
78 489
214 486
702 234
431 119
474 119
344 118
1118 17

11
1242 327
956 188
964 454
733 454
846 454
497 439
106 17
474 271
431 269
389 268
344 268

8
1147 103
811 156
431 48
390 48
344 48
477 49
1115 136
1188 194

9
1145 20
1175 20
1208 20
472 210
390 211
554 336
553 319
553 304
554 289

11
1253 58
1253 91
1254 131
353 20
391 21
425 21
189 334
154 335
128 335
154 369
807 378

7
1254 286
686 424
654 424
631 385
423 437
1251 263
1204 325

